Question,Answer
How many years of work experience do you have with Manual Testing?,6
How many years of work experience do you have with Azure DevOps Services?,4
How many years of work experience do you have with PostgreSQL?,10
Teléfono móvil, +57 3002357202
How many years of work experience do you have with Jira?,11
How many years of work experience do you have with Back-End Web Development?,8
How many years of work experience do you have with Regression Testing?,5
¿Cuántos años de experiencia tienes con JavaScript?,3
¿Cuántos años de experiencia tienes con Appium?,2
How many years of work experience do you have with Deterministic LLM Programming?,3
How many years of work experience do you have with JUnit?,5
How many years of work experience do you have with Django?,1
How many years of work experience do you have with Ticketing Systems?,6
¿Cuál es tu nivel de eng?,Conversational
How many years of work experience do you have with Appium?,3
How many years of work experience do you have with SOAP?,8
How many years of work experience do you have with Eclipse?,8
How many years of work experience do you have with Git?,3
How many years of work experience do you have with GraphQL?,4
Description,
How many years of work experience do you have with Technology Management?,5
¿Te parece bien someterte a un test de detección de drogas de conformidad con la normativa legal?,Yes
Have you completed the following level of education: High School Diploma?,Yes
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Firmware?,3
What is your level of proficiency in eng?,Conversational
How many years of work experience do you have with C (Programming Language)?,1
How many years of work experience do you have with Performance Testing?,4
How many years of work experience do you have with Hadoop?,1
How many years of work experience do you have with Software Development Life Cycle (SDLC)?,9
How many years of work experience do you have with Playwriting?,3
¿Puedes teletrabajar?,Yes
How many years of work experience do you have with OpenCV?,0
How many years of work experience do you have with Project Management?,4
How many years of work experience do you have with IBM Db2?,1
How many years of work experience do you have with TypeScript?,2
How many years of work experience do you have with Angular?,5
State / Province,
How many years of work experience do you have with Microsoft Outlook?,10
¿Cuántos años de experiencia tienes con Pruebas manuales?,6
How many years of work experience do you have with JavaSE?,8
How many years of work experience do you have with Amazon Web Services (AWS)?,6
How many years of work experience do you have with Object-Oriented Programming (OOP)?,10
How many years of work experience do you have with Agile Software Development?,6
How many years of work experience do you have with SOLID Design Principles?,1
School,
Have you completed the following level of education: Associate's Degree?,Yes
How many years of work experience do you have with JavaScript?,3
City,
How many years of work experience do you have with Microservices?,5
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Blockchain?,0
¿Cuántos años de experiencia tienes con Amazon Web Services (AWS)?,5
How many years of work experience do you have with Kotlin?,1
Are you legally authorized to work in PE?,Yes
How many years of work experience do you have with Bug Tracking?,6
Company,
How many years of urn:li:industry:41 experience do you currently have?,3
How many years of urn:li:industry:29 experience do you currently have?,2
How many years of work experience do you have with Training?,2
How many years of work experience do you have with Functional Testing?,5
How many years of work experience do you have with Pyth (Programming Language)?,1
How many years of work experience do you have with RabbitMQ?,1
¿Cuántos años de experiencia tienes como QA?,7
How many years of work experience do you have with Racing?,0
¿Cuántos años de experiencia tienes con PostgreSQL?,10
How many years of work experience do you have with JHipster?,1
Do you have the following license or certification: Certified Software Tester?,No
How many years of work experience do you have with Unit Testing?,2
How many years of work experience do you have with Non-functional Testing?,6
Mobile phone number, +57 3002357202
¿Has obtenido el siguiente título: High School Diploma?,Sí
How many years of QA experience do you currently have?,6
Do you have the following license or certification: Developing Microsoft Azure and Web Services?,Yes
How many years of work experience do you have with Mobile Devices?,2
How many years of urn:li:industry:118 experience do you currently have?,2
¿Cuántos años de experiencia tienes con JIRA?,6
How many years of work experience do you have with Open API?,4
How many years of work experience do you have with k6 Load Testing?,3
Middle name,
How many years of work experience do you have with Web Development?,5
Do you have the following license or certification: Certified Software Quality Analyst?,No
