Question,Answer
¿Tienes permiso de trabajo para Estados Unidos?,Yes
How many years of work experience do you have with Agile Leadership?,3
¿Cuántos años de experiencia tienes con C#?,18
¿Cuántos años de experiencia tienes con PostGIS?,4
How many years of work experience do you have with BrowserStack?,2
¿Cuántos años de experiencia tienes con Líder de equipo?,5
¿Cuántos años de experiencia tienes con ASP.NET?,2
How many years of work experience do you have with Microsoft SQL Server?,3
How many years of work experience do you have with Development Tools?,6
¿Cuántos años de experiencia tienes con Gestión de partes interesadas?,4
Please submit a resume or LinkedIn profile, -770760179.pdf
How many years of work experience do you have with Skill Development?,12
How many years of work experience do you have with Scrumban?,3
¿Tienes un permiso de conducir válido?,Yes
How many years of work experience do you have with E-Commerce?,2
How many years of work experience do you have with Automation?,5
Are you legally authorized to work in the United States?,Yes
How many years of work experience do you have with Micro Focus Quality Center?,1
How many years of work experience do you have with Robot?,1
How many years of work experience do you have with Test Coordination?,1
¿Has obtenido el siguiente título: Grado/licenciatura?,Yes
How many years of work experience do you have with MySQL?,10
How many years of work experience do you have with Relational Databases?,8
Description,
How many years of work experience do you have with Azure Kusto?,0
How many years of work experience do you have with Model-View-Controller (MVC)?,5
How many years of work experience do you have with Cascading Style Sheets (CSS)?,4
How many years of work experience do you have with Software Quality Assurance?,6
How many years of work experience do you have with SQL Database Administration?,12
How many years of work experience do you have with Automated Software Testing?,5
How many years of IT experience do you currently have?,13
How many years of work experience do you have with Selenium Testing?,5
¿Cuántos años de experiencia tienes con SharePoint?,2
How many years of work experience do you have with Remote Work?,5
How many years of work experience do you have with Systems Engineering?,10
State / Province,
¿Cuántos años de experiencia tienes con MySQL?,7
How many years of work experience do you have with PHP?,6
How many years of work experience do you have with SharePoint?,2
How many years of PRJM experience do you currently have?,2
How many years of work experience do you have with Blazor?,1
How many years of work experience do you have with API Development?,5
¿Hablas Portugués?,No
How many years of work experience do you have with C# in .NET?,10
How many years of work experience do you have with Azure Databricks?,1
How many years of work experience do you have with Active Server Pages (ASP)?,1
How many years of work experience do you have with Latin?,1
City,
How many years of work experience do you have with Test Management?,6
Company,
How many years of work experience do you have with .NET Framework?,10
How many years of work experience do you have with Groovy?,2
Country,
How many years of work experience do you have with SQL Server Management Studio?,2
How many years of work experience do you have with Amazon Dynamodb?,3
Degree,
How many years of work experience do you have with Zephyr?,5
How many years of work experience do you have with .NET in Azure?,4
How many years of work experience do you have with Mobile Software Development?,2
How many years of urn:li:industry:4 experience do you currently have?,15
How many years of work experience do you have with JavaServer Pages (JSP)?,3
Envía tu currículum o perfil de LinkedIn, -1861657195.pdf
¿Cuántos años de experiencia tienes con Aseguramiento de Calidad?,6
How many years of work experience do you have with Agile Coaching?,8
How many years of work experience do you have with Agile Environment?,3
How many years of work experience do you have with TensorFlow?,0
Your title,
How many years of work experience do you have with Kanban?,5
How many years of ANLS experience do you currently have?,6
How many years of work experience do you have with Agile Methodologies?,8
How many years of work experience do you have with System Testing?,4
How many years of work experience do you have with Full-Stack Development?,3
How many years of work experience do you have with GUI test automation?,4
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Custom Software Development?,10
How many years of work experience do you have with MongoDB?,2
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with Unix?,6
