Question,Answer
How many years of WRT experience do you currently have?,5
How many years of work experience do you have with Representational State Transfer (REST)?,3
Country,
How many years of work experience do you have with Python (Programming Language)?,3
What is your university grade point average (4.0 GPA Scale)?,4
¿Cuántos años de experiencia tienes con Representational State Transfer?,0
How many years of work experience do you have with Agile & Waterfall Methodologies?,6
How many years of work experience do you have with Visual Studio?,8
How many years of work experience do you have with GitHub?,2
¿Cuántos años de experiencia tienes con Python?,2
